id,Attraction,Rating,NumReviews,Address,Duration,Score,Coordinates,ReviewsSummary,0,1,2,3,4,5,6,Country,About,Categories
89,Lee Kong Chian Natural History Museum,4.5,102,"2 Conservatory Drive | National University of Singapore, Singapore 117377, Singapore",90,459,"(1.3014053, 103.773645)","While Lee Kong Chian Natural History Museum is a lot smaller than other museums in Australia, etc, it still allows visitors to amuse themselves for a good 3-4 hours, and this is the first natural history museum in Singapore. This is an interesting visit worth about 1.5 hours of your time. Overall, the Lee Kong Chian Natural History Museum would be somewhere where I, as a local, would take a friend from a foreign country to visit, especially for someone who is interested in the flora and fauna of the region, or someone who wants to visit somewhere more 'unique' and off the beaten tourist track.","(600, 1140)","(0, 0)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)",Singapore,"The Lee Kong Chian Natural History Museum (LKCNHM) is Singapore’s first and only natural history museum. The museum, which traces its roots to the original Raffles Museum of 1878, is among the oldest such institution in the region. Established through philanthropic gifts totalling $56 million, LKCNHM aims to be a leader in Southeast Asian biodiversity and conservation research, education and outreach. The exhibition gallery is divided into two levels: The main biodiversity gallery, comprising 15 zones, tracks the history of life on earth, among them green plants, fungi, molluscs, arthropods, birds and mammals. The mezzanine floor, home to the heritage zone, presents the history of the Raffles Museum and LKCNHM. This gallery holds the “Cabinets of Curiosities” where visitors can examine Singapore’s history of biodiversity exploration; the people who helped build this; and the biological treasures accumulated over 137 years. A zone titled “Singapore Today” reveals the geology of the island and the important conservation efforts by national agencies.","Natural History Museums, Museums"
90,National Stadium,4,112,"2 Stadium Walk, Singapore 397718, Singapore",90,448,"(1.3006453, 103.8744253)","The stadium is not just for sport event, it is also for many others. There's just no need unless it's your first stadium.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"With a maximum capacity of 55,000 people, the National Stadium was not only was it a focal point for the nation’s sporting, cultural, entertainment and national events, it is also the spiritual home of The Lions, Singapore’s national football team.","Arenas & Stadiums, Sights & Landmarks"
91,Central Business District,4,111,"Shenton Way, Singapore, Singapore",90,444,"(1.2757729, 103.8479732)","This is the modern area south of the Singapore River that consists of many modern high rise buildings as is you might expect quite impressive.The area is adjacent to the Marina Bay area and raffles Plaza and is worth a visit. The Central Business Disctrict is the business sector of the city in Singapore, nevertheless it is still a great place to go if you want to shop (after Orchard Road), or take a look at Raffles Place or around the city.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Neighbourhoods, Other, Sights & Landmarks"
92,Great World City Shopping Centre,4,110,"1 Kim Seng Promenade Great World City, Singapore 237994, Singapore",90,440,"(1.2933742, 103.8320127)","if you have lot of time, then you can visit this place like we did Great shopping mall with everything. Clean, good food court, restaurants, money changer and good variety of shops ranging from jewelry stores, clothing,  electronics,  cold storage ect.","(600, 1260)","(600, 1260)","(600, 1260)","(600, 1260)","(600, 1260)","(600, 1260)","(600, 1260)",Singapore,"Great World City lives up to its moniker as a one-stop store of shopping delights, with six storeys and more than 100 shops in total. It is particularly good for antiques as it houses many stores showcasing a wide range of artefacts and rare collectibles.","Shopping Malls, Shopping"
93,Hort Park,4.5,95,"33 Hyderabad Road, Singapore 119578, Singapore",90,427.5,"(1.278715, 103.8013131)","This was my 2nd visit to Hort park. However, it will be good if you can bring your own food.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Learning and education are two of Hort Park’s main aims, and activities and events are held all year round to generate interest and enhance awareness of the area.",Nature & Parks
94,Sri Srinivasa Perumal Temple,4,105,"397 Serangoon Road, Singapore 218123, Singapore",90,420,"(1.313351, 103.855794)","It feels very nice to visit on any auspicious day and it also feels very good and peaceful as you feel you are very close to divinity On of the most famous Hindu temples in Singapore, as usually full of colours, interesting painting an sculptures.. Nice place, best time to visit is...More We went here on a weekday afternoon, so there were no people around. This definitely was one of the interesting places I visited in Singapore.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
95,Changi Beach,4,104,"Near Changi Village, Singapore, Singapore",90,416,"(1.3450101, 103.9832089)","Is singapore, of course is nice and clean. Changi Beach is the way to go.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Historic Sites, Beaches, Sights & Landmarks, Outdoor Activities, Nature & Parks"
96,Geylang Serai,4,102,"Geylang Rd, Singapore, Singapore",90,408,"(1.3134257, 103.8837629)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Located in the eastern part of the island, Geylang is today a thriving residential, commercial and cultural district that is full of life and vitality with great food, great bargains and great sights.","Neighbourhoods, Sights & Landmarks, Other"
97,PasarBella - A Farmers' Market,4,102,"200 Turf Club Road The Grandstand | The Grandstand Bukit Timah, Singapore 287994, Singapore",150,408,"(1.3378923, 103.7933377)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Housed within a warm community-based environment, PasarBella encompasses a seafood market, meat, dairy, fresh produce, wines and craft beers, global cuisines and personal services.","Flea & Street Markets, Shopping"
98,Isetan Scotts,4,102,"350 Orchard Road Shaw House, Singapore 238868, Singapore",90,408,"(1.3055124, 103.8317552)",Reviews Summary not available.,"(600, 1290)","(600, 1290)","(600, 1290)","(600, 1290)","(600, 1290)","(600, 1290)","(600, 1290)",Singapore,"A Japanese department store with many branches across Singapore, Isetan is particularly popular in the city-state because of its huge range, fair prices and good service.","Department Stores, Shopping"
99,Tanah Merah Ferry Terminal,3.5,116,"50 Tanah Merah Ferry Road #01-21 Tanah Merah Ferry Terminal, Singapore 498833, Singapore",90,406,"(1.3140038, 103.9886008)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Ferries, Transportation"
100,City Hall Building,4,100,"3 St. Andrew's Road, Singapore, Singapore",90,400,"(1.29068, 103.851743)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Singapore Civic District,"Architectural Buildings, Government Buildings, Sights & Landmarks"
101,Orchard Central,4,98,"181 Orchard Road Orchard Central, Singapore 238896, Singapore",90,392,"(1.3006576, 103.8396965)",Reviews Summary not available.,"(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)",Singapore,"""As Singapore’s tallest vertical mall, Orchard Central is an exciting and inviting spot to do your shopping. Designed such that glass is a central feature throughout, the mall has a breezy and welcoming feel. Billed as an experience for the stylish shopper, Orchard Central has everything from fashion to food, including Singapore’s first Mediterranean-style marketplace, which also gives it a clear point of difference from other rival malls. ""","Shopping Malls, Shopping"
102,Kong Meng San Phor Kark See Temple,4.5,87,"88 Bright Hill Road Kong Meng San Phor Kark See Monastery, Singapore 574117, Singapore",90,391.5,"(1.3609789, 103.8361753)","Beautiful place and well worth a visit. The huge Buddha in the main hall is truly spectacular and the architecture on the buildings, walkways and even in the gardens is beautiful.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
103,Pasir Ris Town Park,4,96,"Pasir Ris Road, Singapore, Singapore",90,384,"(1.3827971, 103.9454425)","Access to the park is via the Pasir Ris bus interchange (10 minute walk to Car Park A) or bus 403 from the interchange, to access the park at Pasir Ris Road (nearer the children's playground) Several highlights of the park include cycling tracks and bicycle rental, a pony ride area, a mangrove forest walk, and a large children playground. We like to visit at the weekend, when the park is lively, it's nice to see the local people enjoying the park.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Nature & Wildlife Areas, Biking Trails, Outdoor Activities, Nature & Parks"
104,Wisma Atria Shopping Centre,4,95,"435 Orchard Road, Singapore 238877, Singapore",90,380,"(1.3037852, 103.8331301)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Ladies, grab your purses because this mall is aimed at you. With fashion at its heart and trendy female shoppers as its target audience, Wisma Atria is heaven for the fashion-savvy and brand-name loving consumer.","Shopping Malls, Shopping"
105,UOB Plaza,4,89,"80 Raffles Place Uob Plaza, Singapore 048624, Singapore",90,356,"(1.285363, 103.8512244)","Great view of Singapore's city scene if you look out from the higher floors at night. A nice place to meet friends, stroll, do shopping and eat ethnic foods.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Architectural Buildings, Observation Decks & Towers, Sights & Landmarks"
106,Reflections at Bukit Chandu,4.5,77,"31K Pepys Road, Singapore 118458, Singapore",90,346.5,"(1.2795421, 103.7943384)","The show is about how Malay Regiment fought the Japanese during WW2 at Bukit Chandu, only a few soldiers survived the battle. Well worth a look, either on a walk from Hort Park or on a visit to Kent Ridge Park.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Speciality Museums, Museums"
107,Geylang Serai New Market,4,86,"1 Geylang Serai Sri Geylang Serai | Geylang Serai Market and Food Centre, Singapore 402001, Singapore",90,344,"(1.3167284, 103.8982767)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Experience an array of Malay and Indian produce and delicacies at the Geylang Serai New Market in Singapore.,"Flea & Street Markets, Points of Interest & Landmarks, Sights & Landmarks, Shopping"
